,index,Customer ID,Gender,Age,Income (USD/Month),Transaction ID,Payment_Mode
126,4226,127,Male,33,4553,10008487,Cash
127,4251,128,Female,20,5074,10247859,Card
128,4289,129,Male,21,7853,10270573,Card
129,4320,130,Male,39,18725,10095424,Card
130,4354,131,Male,61,21943,10063115,Card
131,4380,132,Male,33,22604,10046126,Card
132,4408,133,Male,23,16405,10010315,Card
133,4445,134,Male,37,3478,10342046,Card
134,4479,135,Male,36,12472,10304720,Cash
135,4500,136,Male,34,14364,10218657,Card
136,4540,137,Male,33,2049,10243298,Cash
137,4577,138,Male,36,19123,10319318,Card
138,4607,139,Male,38,7130,10115193,Cash
139,4642,140,Female,35,12570,10124485,Card
140,4673,141,Male,23,11097,10180683,Card
141,4706,142,Male,60,10228,10104460,Card
142,4735,143,Female,20,20256,10166386,Cash
143,4763,144,Female,50,19239,10257855,Card
144,4800,145,Female,39,23477,10192762,Cash
145,4822,146,Male,19,2608,10431755,Card
146,4854,147,Female,47,16546,10398080,Cash
147,4890,148,Male,29,12988,10170797,Cash
148,4927,149,Male,49,9649,10369488,Cash
149,4964,150,Male,40,8064,10083614,Cash
150,4997,151,Female,32,24771,10260260,Card
151,5027,152,Male,25,12708,10414916,Cash
152,5048,153,Male,32,27611,10111217,Cash
153,5083,154,Male,60,12692,10086935,Card
154,5112,155,Male,52,24396,10435548,Card
155,5146,156,Male,50,21785,10260018,Card
156,5182,157,Male,51,20800,10302649,Cash
157,5219,158,Female,56,24768,10104008,Cash
158,5253,159,Male,20,3770,10082097,Cash
159,5289,160,Male,19,25882,10080694,Cash
160,5327,161,Female,31,18655,10207744,Card
161,5353,162,Male,51,28837,10241454,Card
162,5382,163,Female,42,2012,10249370,Card
163,5422,164,Female,20,8619,10380084,Card
164,5454,165,Male,26,9701,10046362,Cash
165,5488,166,Male,31,12561,10027867,Card
166,5515,167,Male,60,5974,10376310,Card
167,5537,168,Male,37,32932,10210732,Card
168,5576,169,Female,39,12898,10055561,Card
169,5610,170,Female,62,24477,10400058,Cash
170,5640,171,Male,40,2971,10338436,Cash
171,5670,172,Female,32,23433,10369520,Cash
172,5710,173,Male,24,16425,10277929,Card
173,5748,174,Male,22,12595,10040698,Cash
174,5783,175,Male,39,3928,10074368,Card
175,5816,176,Male,22,4442,10414863,Cash
176,5848,177,Male,22,23338,10439257,Cash
177,5876,178,Female,28,29246,10130406,Card
178,5913,179,Female,28,12874,10422476,Cash
179,5952,180,Male,40,15149,10402250,Card
180,5983,181,Male,23,20101,10293954,Card
181,6017,182,Male,31,15578,10438702,Cash
182,6044,183,Male,40,4852,10277611,Card
183,6079,184,Female,35,34019,10435316,Card
184,6117,185,Male,21,12163,10353423,Card
185,6157,186,Female,29,21783,10374632,Cash
186,6193,187,Male,34,18482,10251419,Card
187,6227,188,Female,45,21139,10032942,Cash
188,6252,189,Female,47,16070,10166414,Card
189,6280,190,Male,22,15891,10111282,Card
190,6311,191,Male,36,30286,10264077,Cash
191,6346,192,Female,63,17515,10053017,Cash
192,6386,193,Male,41,16890,10359003,Cash
193,6424,194,Female,49,13735,10010199,Card
194,6460,195,Male,40,17940,10334906,Card
195,6495,196,Male,59,8044,10379939,Cash
196,6535,197,Female,41,21175,10243840,Cash
197,6572,198,Male,37,10015,10058261,Cash
198,6601,199,Male,56,21690,10297079,Card
199,6637,200,Female,21,15696,10228187,Card
200,6674,201,Female,38,24504,10077651,Card
201,6700,202,Female,60,10758,10104231,Card
202,6735,203,Female,58,17529,10330068,Cash
203,6764,204,Male,31,23294,10225931,Card
204,6807,205,Female,65,18700,10195730,Cash
205,6855,206,Female,27,23098,10418105,Cash
206,6881,207,Male,25,11149,10277961,Card
207,6919,208,Female,33,15477,10015634,Cash
208,6944,209,Male,28,11004,10268874,Cash
209,6970,210,Female,29,21131,10270651,Card
210,7008,211,Male,31,3965,10264628,Card
211,7039,212,Male,45,9390,10418785,Cash
212,7076,213,Male,34,6395,10247636,Card
213,7104,214,Female,36,8675,10026881,Card
214,7133,215,Female,21,11218,10414480,Cash
215,7165,216,Female,47,15763,10063257,Card
216,7187,217,Male,65,13894,10268718,Cash
217,7225,218,Female,21,32642,10130237,Card
218,7251,219,Male,23,20012,10027880,Cash
219,7280,220,Male,30,10201,10017750,Cash
220,7322,221,Male,39,18545,10235497,Cash
221,7348,222,Female,22,11489,10015745,Card
222,7380,223,Male,22,2356,10422720,Card
223,7409,224,Female,55,29928,10126678,Card
224,7445,225,Female,40,28885,10127096,Card
225,7478,226,Male,27,8098,10427326,Card
226,7508,227,Male,55,16137,10372979,Cash
227,7542,228,Male,32,3273,10164015,Card
228,7567,229,Male,20,21602,10239392,Card
229,7607,230,Male,57,7950,10146387,Cash
230,7644,231,Male,62,26198,10058178,Cash
231,7676,232,Male,29,17016,10379861,Card
232,7716,233,Male,40,11591,10239441,Card
233,7736,234,Male,59,5781,10088456,Card
234,7774,235,Male,39,24079,10426724,Cash
235,7809,236,Male,33,13072,10127059,Card
236,7839,237,Female,61,4637,10369747,Cash
237,7867,238,Female,38,31458,10223949,Card
238,7898,239,Female,34,34510,10133884,Cash
239,7931,240,Female,30,10273,10229780,Card
240,7962,241,Male,34,17935,10068750,Cash
241,7993,242,Male,23,24446,10090322,Card
242,8022,243,Female,31,15547,10376519,Card
243,8061,244,Male,35,21354,10148747,Card
244,8095,245,Male,27,15863,10330398,Card
245,8133,246,Male,26,25731,10195784,Card
246,8157,247,Male,50,5552,10386840,Card
247,8179,248,Female,24,18515,10229757,Cash
248,8213,249,Female,40,22296,10376531,Card
249,8240,250,Male,27,17075,10228323,Cash
250,8267,251,Male,29,2042,10107623,Card
251,8290,252,Female,22,4972,10115025,Cash
252,8319,253,Female,27,20477,10380067,Card
253,8350,254,Female,37,24816,10398043,Cash
254,8381,255,Male,33,3064,10264140,Cash
255,8413,256,Male,59,24638,10161692,Cash
256,8437,257,Male,21,8518,10126670,Card
257,8465,258,Male,30,9151,10224007,Card
258,8501,259,Female,37,12939,10013622,Cash
259,8528,260,Male,23,15439,10339822,Cash
260,8564,261,Male,19,21613,10251571,Card
261,8592,262,Male,26,8242,10332458,Cash
262,8618,263,Male,18,18563,10260268,Cash
263,8648,264,Male,39,5453,10312790,Card
264,8672,265,Female,50,12788,10150875,Card
265,8714,266,Male,19,16179,10286499,Cash
266,8747,267,Male,26,14424,10023431,Card
267,8779,268,Male,31,3273,10000860,Cash
268,8812,269,Male,61,23777,10013836,Card
269,8846,270,Female,27,22635,10220202,Card
270,8892,271,Male,18,2569,10300723,Cash
271,8931,272,Female,36,20511,10159388,Card
272,8967,273,Female,56,16327,10410126,Cash
273,8998,274,Female,35,22121,10385014,Card
274,9029,275,Male,45,15295,10164186,Card
275,9064,276,Male,28,16009,10083695,Card
276,9102,277,Male,37,5740,10354645,Card
277,9127,278,Male,27,18730,10231896,Card
278,9157,279,Female,37,2069,10407997,Card
279,9189,280,Male,30,23497,10100512,Cash
280,9226,281,Female,23,2415,10373218,Card
281,9266,282,Male,38,6014,10124594,Card
282,9300,283,Male,19,17189,10031025,Card
283,9337,284,Male,24,22830,10264987,Card
284,9368,285,Female,34,11017,10166223,Cash
285,9398,286,Female,46,23325,10409817,Cash
286,9440,287,Male,26,19463,10003590,Cash
287,9474,288,Male,27,22897,10376407,Cash
288,9509,289,Male,24,10611,10435500,Card
289,9545,290,Female,41,15148,10097345,Cash
290,9582,291,Female,28,25868,10029017,Card
291,9615,292,Female,22,28803,10031134,Card
292,9639,293,Male,44,24657,10366439,Card
293,9670,294,Male,36,6431,10015788,Card
294,9696,295,Female,39,5331,10140557,Card
295,9717,296,Male,21,21551,10438632,Cash
296,9742,297,Female,18,24257,10243817,Card
297,9773,298,Male,45,11855,10330362,Cash
298,9808,299,Female,21,5374,10033124,Card
299,9849,300,Male,24,15855,10013777,Cash
300,9874,301,Male,62,25038,10429078,Cash
301,9909,302,Female,37,19156,10220787,Cash
302,9948,303,Female,26,7458,10164045,Card
303,9990,304,Male,22,19013,10390785,Card
304,10022,305,Female,46,10177,10366621,Cash
305,10056,306,Male,18,2984,10432046,Card
306,10085,307,Male,36,34614,10233482,Card
307,10118,308,Female,26,28071,10439194,Cash
308,10148,309,Male,20,23727,10414746,Card
309,10181,310,Female,39,23915,10394449,Card
310,10211,311,Female,45,16796,10243855,Card
311,10241,312,Male,41,5003,10439176,Cash
312,10274,313,Male,33,9797,10093429,Cash
313,10312,314,Female,23,15490,10277913,Cash
314,10347,315,Male,30,33370,10030761,Card
315,10378,316,Female,44,19642,10243819,Card
316,10424,317,Female,40,14012,10148619,Card
317,10450,318,Male,29,17717,10360470,Card
318,10482,319,Male,25,23689,10119058,Cash
319,10526,320,Male,46,6112,10071161,Card
320,10557,321,Female,31,20917,10422501,Cash
321,10591,322,Female,47,23679,10294087,Card
322,10622,323,Male,44,2146,10431487,Card
323,10657,324,Female,61,10391,10251997,Cash
324,10685,325,Male,21,12770,10277821,Cash
325,10721,326,Male,39,15164,10330120,Card
326,10753,327,Male,34,29172,10012728,Card
327,10789,328,Male,20,7999,10126427,Card
328,10823,329,Male,21,17862,10003758,Card
329,10862,330,Male,58,18152,10144390,Cash
330,10886,331,Male,34,17249,10321329,Card
331,10920,332,Female,47,15524,10277927,Card
332,10943,333,Female,22,18406,10426980,Cash
333,10974,334,Male,21,18200,10097509,Card
334,11003,335,Male,45,16196,10339674,Card
335,11036,336,Male,22,8899,10107873,Card
336,11084,337,Male,20,23802,10000967,Card
337,11113,338,Male,21,24718,10275335,Cash
338,11144,339,Male,55,20859,10241433,Card
339,11174,340,Male,38,5498,10046401,Card
340,11201,341,Female,27,17198,10327894,Card
341,11242,342,Male,64,16265,10398188,Cash
342,11277,343,Female,53,23719,10439275,Card
343,11315,344,Female,43,8357,10383126,Cash
344,11346,345,Male,27,19272,10286666,Card
345,11387,346,Male,21,7012,10439046,Card
346,11417,347,Male,18,18351,10108134,Card
347,11440,348,Male,19,3681,10243754,Cash
348,11473,349,Male,18,15223,10143377,Cash
349,11496,350,Female,21,31665,10137316,Cash
350,11517,351,Male,64,11439,10422171,Card
351,11550,352,Female,54,24047,10031129,Cash
352,11576,353,Female,23,14566,10287014,Card
353,11598,354,Male,29,8111,10067177,Cash
354,11628,355,Male,36,16470,10256234,Card
355,11667,356,Male,25,19905,10422359,Card
356,11703,357,Female,33,13405,10126939,Cash
357,11742,358,Male,20,21597,10403927,Cash
358,11764,359,Male,18,9997,10215442,Cash
359,11798,360,Male,40,10706,10256093,Card
360,11831,361,Female,28,13553,10106000,Cash
361,11866,362,Male,41,10941,10030802,Card
362,11892,363,Female,22,13059,10431201,Card
363,11915,364,Male,22,14673,10152907,Card
364,11941,365,Female,31,18134,10035356,Card
365,11977,366,Male,27,30932,10282559,Cash
366,12011,367,Male,49,32757,10405868,Cash
367,12037,368,Female,27,11638,10283182,Card
368,12064,369,Female,37,21085,10312664,Cash
369,12098,370,Male,21,15770,10390750,Card
370,12124,371,Female,41,19326,10190391,Cash
371,12160,372,Male,26,16512,10217027,Card
372,12198,373,Male,27,5070,10150820,Card
373,12235,374,Male,21,26477,10280213,Card
374,12269,375,Male,27,10514,10349425,Cash
375,12301,376,Male,21,6788,10150895,Card
376,12328,377,Male,25,22945,10286617,Card
377,12352,378,Male,39,11115,10204538,Card
378,12390,379,Male,24,10302,10402230,Cash
379,12421,380,Female,39,33544,10339763,Card
380,12464,381,Female,32,4210,10008456,Cash
381,12498,382,Male,21,4762,10090371,Card
382,12535,383,Female,39,5282,10195451,Cash
383,12565,384,Male,38,15938,10351922,Card
384,12602,385,Female,37,15498,10275385,Card
385,12639,386,Female,21,3555,10204084,Card
386,12676,387,Female,54,2189,10399897,Card
387,12708,388,Male,25,11432,10190675,Cash
388,12737,389,Female,26,4843,10366740,Cash
389,12774,390,Female,49,20286,10191653,Card
390,12816,391,Male,22,9561,10071457,Cash
391,12849,392,Female,20,17175,10220553,Card
392,12885,393,Female,28,17211,10013664,Card
393,12924,394,Female,41,15818,10122785,Card
394,12954,395,Female,26,10368,10044132,Card
395,12985,396,Male,27,24605,10205857,Card
396,13022,397,Male,36,20104,10372839,Cash
397,13049,398,Female,32,4073,10280245,Card
398,13084,399,Female,19,23901,10064547,Card
399,13126,400,Male,50,2176,10351964,Card
400,13155,401,Male,39,10197,10217403,Card
401,13182,402,Male,60,20174,10390561,Cash
402,13213,403,Male,64,2911,10158199,Card
403,13244,404,Female,35,24059,10297225,Cash
404,13276,405,Male,64,12934,10185536,Card
405,13313,406,Male,23,6583,10431148,Cash
406,13343,407,Male,28,11126,10435757,Cash
407,13373,408,Male,62,19893,10210921,Card
408,13418,409,Male,39,22237,10090219,Card
409,13453,410,Female,37,18801,10177910,Card
410,13492,411,Male,20,24155,10401715,Card
411,13522,412,Male,34,2182,10283246,Cash
412,13547,413,Male,28,13213,10122229,Cash
413,13580,414,Male,47,19165,10042957,Card
414,13620,415,Male,49,9841,10228199,Card
415,13654,416,Female,24,21538,10107662,Card
416,13697,417,Female,61,27601,10308652,Card
417,13740,418,Male,18,16158,10431957,Cash
418,13771,419,Male,42,5876,10130532,Cash
419,13804,420,Male,25,34913,10046468,Cash
420,13839,421,Male,59,22830,10247444,Card
421,13870,422,Male,63,14331,10078855,Cash
422,13909,423,Female,38,26630,10418406,Card
423,13942,424,Female,33,24092,10065802,Card
424,13976,425,Male,56,12073,10145404,Card
425,14016,426,Female,40,10351,10438985,Card
426,14040,427,Male,21,14686,10057982,Cash
427,14064,428,Male,26,2378,10439339,Card
428,14096,429,Male,27,15028,10383616,Card
429,14125,430,Male,25,21854,10302639,Cash
430,14154,431,Male,23,4752,10192985,Card
431,14188,432,Female,39,17148,10222194,Card
432,14223,433,Male,18,25523,10220445,Card
433,14252,434,Male,49,2079,10071120,Cash
434,14281,435,Female,30,16793,10035141,Card
435,14309,436,Male,48,13091,10394022,Cash
436,14339,437,Female,21,6316,10257900,Cash
437,14379,438,Male,55,3064,10277763,Card
438,14416,439,Male,22,5494,10406423,Card
439,14449,440,Male,27,19704,10122387,Card
440,14479,441,Male,28,12989,10247768,Cash
441,14510,442,Female,37,18943,10278660,Card
442,14559,443,Female,35,13101,10394624,Cash
443,14603,444,Female,57,22015,10433546,Card
444,14648,445,Male,34,10258,10077587,Card
445,14672,446,Male,33,20377,10038460,Card
446,14706,447,Female,23,5003,10204062,Cash
447,14740,448,Male,34,17948,10004998,Cash
448,14772,449,Male,21,4154,10170532,Card
449,14816,450,Female,24,17045,10371172,Card
450,14858,451,Male,40,5109,10438621,Card
451,14898,452,Male,40,16390,10418602,Card
452,14934,453,Female,32,12571,10030969,Cash
453,14963,454,Female,27,12876,10418293,Cash
454,14995,455,Male,44,2514,10394717,Card
455,15021,456,Male,36,11031,10251863,Card
456,15055,457,Male,35,34302,10002135,Cash
457,15093,458,Female,27,4046,10010004,Cash
458,15121,459,Female,33,17028,10194065,Card
459,15151,460,Female,19,24673,10432032,Cash
460,15188,461,Male,30,17260,10039748,Cash
461,15214,462,Female,24,34382,10422911,Card
462,15244,463,Female,36,3081,10422801,Card
463,15275,464,Male,23,2734,10183114,Cash
464,15309,465,Female,39,2250,10418389,Card
465,15344,466,Male,31,7951,10241485,Cash
466,15374,467,Male,24,16349,10282602,Cash
467,15402,468,Male,25,20659,10433461,Cash
468,15428,469,Male,58,18203,10427237,Card
469,15465,470,Male,38,9237,10260192,Card
470,15496,471,Male,26,7896,10220514,Card
471,15532,472,Male,22,10380,10039649,Cash
472,15573,473,Male,24,22489,10418299,Cash
473,15605,474,Female,23,13749,10090261,Card
474,15645,475,Male,36,9959,10358948,Cash
475,15676,476,Female,46,32888,10108049,Cash
476,15716,477,Male,31,24465,10282921,Cash
477,15760,478,Female,23,12609,10247067,Card
478,15790,479,Male,53,6258,10406218,Cash
479,15821,480,Female,26,7948,10083704,Card
480,15854,481,Male,24,16646,10405822,Cash
481,15879,482,Male,40,21045,10013894,Cash
482,15914,483,Male,28,4077,10021430,Cash
483,15942,484,Female,38,18246,10418062,Card
484,15977,485,Male,57,11135,10251836,Cash
485,16007,486,Male,21,14416,10422757,Card
486,16030,487,Female,31,7111,10360665,Cash
487,16068,488,Male,35,19223,10400043,Card
488,16111,489,Male,28,24348,10188980,Cash
489,16144,490,Female,33,19799,10159576,Card
490,16177,491,Male,50,9801,10233530,Card
491,16212,492,Male,37,14145,10215449,Card
492,16247,493,Male,38,21539,10251080,Card
493,16288,494,Male,18,18616,10008301,Cash
494,16342,495,Male,34,3225,10232093,Card
495,16375,496,Female,30,32352,10277909,Cash
496,16410,497,Female,19,21065,10398135,Card
497,16445,498,Male,18,15023,10348017,Card
498,16465,499,Male,20,17217,10231902,Card
499,16503,500,Female,32,7661,10122439,Card
500,16534,501,Male,41,17696,10410415,Card
501,16557,502,Male,28,15285,10080577,Card
502,16597,503,Male,23,16685,10290065,Card
503,16629,504,Female,38,10976,10068588,Cash
504,16663,505,Female,36,4184,10210870,Card
505,16699,506,Male,54,16652,10086833,Card
506,16736,507,Male,46,5578,10041974,Card
507,16760,508,Male,25,2808,10373263,Cash
508,16803,509,Male,63,23470,10175377,Card
509,16834,510,Female,26,7313,10388663,Card
510,16869,511,Female,20,23266,10228122,Card
511,16907,512,Male,33,13902,10383411,Card
512,16946,513,Male,40,8766,10243583,Card
513,16974,514,Male,22,18509,10180715,Card
514,17002,515,Male,35,19070,10135743,Cash
515,17034,516,Male,31,14401,10431222,Card
516,17067,517,Female,40,7913,10088379,Card
517,17107,518,Female,36,34640,10192811,Card
518,17145,519,Male,32,9738,10268520,Cash
519,17181,520,Male,38,11294,10290098,Card
520,17213,521,Male,64,8700,10319282,Card
521,17254,522,Female,30,14098,10130318,Card
522,17286,523,Male,39,3997,10406605,Card
523,17312,524,Male,33,17785,10031075,Card
524,17345,525,Female,62,11853,10170645,Card
525,17377,526,Female,59,30824,10173251,Cash
526,17405,527,Female,44,18793,10273367,Cash
527,17437,528,Male,46,4213,10145386,Cash
528,17467,529,Female,43,20199,10201169,Cash
529,17505,530,Female,42,24940,10272992,Card
530,17543,531,Female,37,17862,10278551,Cash
531,17569,532,Female,25,17743,10118748,Cash
532,17603,533,Male,52,15974,10122602,Card
533,17648,534,Male,61,19037,10210472,Cash
534,17686,535,Male,33,7350,10387060,Card
535,17717,536,Male,38,20132,10437110,Card
536,17745,537,Male,39,24122,10220860,Card
537,17773,538,Male,25,9866,10292500,Cash
538,17811,539,Male,36,15601,10251342,Cash
539,17841,540,Male,29,5062,10144415,Cash
540,17875,541,Female,33,7080,10268968,Card
541,17912,542,Male,30,24935,10243521,Card
542,17937,543,Male,51,13137,10015591,Card
543,17966,544,Male,51,18995,10334825,Cash
544,18004,545,Female,22,24389,10148804,Card
545,18037,546,Male,33,22901,10330059,Cash
546,18065,547,Male,41,5157,10078798,Card
547,18089,548,Male,35,22073,10048615,Cash
548,18125,549,Male,19,13354,10397846,Card
549,18169,550,Male,25,21697,10213933,Cash
550,18210,551,Male,42,3687,10357847,Card
551,18241,552,Male,38,24424,10210654,Card
552,18266,553,Female,40,24073,10080302,Cash
553,18296,554,Female,24,20932,10231697,Cash
554,18329,555,Male,26,3582,10371218,Card
555,18358,556,Female,26,24812,10065988,Card
556,18393,557,Female,59,7322,10093614,Card
557,18435,558,Female,24,15268,10353368,Card
558,18469,559,Male,18,6233,10192844,Card
559,18506,560,Male,39,31144,10087179,Cash
560,18539,561,Female,22,17181,10140608,Cash
561,18574,562,Female,20,15136,10012051,Card
562,18595,563,Male,22,13111,10323199,Cash
563,18621,564,Male,23,28112,10435223,Card
564,18654,565,Male,36,4124,10278220,Card
565,18694,566,Male,19,8083,10282450,Card
566,18725,567,Female,39,11869,10392418,Card
567,18759,568,Female,32,13903,10366681,Cash
568,18789,569,Male,61,6904,10226060,Cash
569,18815,570,Female,32,4777,10426493,Cash
570,18852,571,Male,22,12853,10297066,Cash
571,18885,572,Male,38,17357,10312673,Cash
572,18920,573,Male,34,2589,10019604,Cash
573,18951,574,Male,37,12420,10155105,Card
574,18989,575,Female,26,2789,10256216,Card
575,19022,576,Male,35,27413,10046293,Card
576,19046,577,Male,51,12444,10078797,Card
577,19069,578,Male,33,14487,10252086,Card
578,19094,579,Male,50,23635,10247737,Card
579,19133,580,Male,23,6791,10006697,Card
580,19163,581,Male,34,34612,10251966,Card
581,19185,582,Male,24,6439,10137332,Cash
582,19213,583,Male,46,9183,10330315,Card
583,19251,584,Female,21,9905,10237388,Card
584,19285,585,Male,29,7031,10115049,Card
585,19322,586,Female,23,10348,10104105,Card
586,19354,587,Female,32,15933,10422177,Card
587,19391,588,Male,31,19256,10294005,Cash
588,19434,589,Male,20,19991,10431916,Card
589,19479,590,Male,62,18608,10217275,Card
590,19515,591,Male,39,19842,10269124,Card
591,19547,592,Female,60,20942,10422493,Cash
592,19577,593,Female,36,26313,10039549,Cash
593,19615,594,Male,49,17364,10275493,Card
594,19640,595,Male,18,4830,10041940,Cash
595,19674,596,Male,33,8544,10260585,Cash
596,19717,597,Female,21,7090,10334864,Card
597,19750,598,Female,29,27261,10427182,Card
598,19785,599,Female,36,16550,10122852,Card
599,19817,600,Female,61,3318,10268521,Cash
600,19853,601,Male,32,20775,10394180,Card
601,19885,602,Female,31,10999,10257841,Card
602,19908,603,Male,47,4612,10228170,Card
603,19942,604,Female,26,22969,10235565,Card
604,19978,605,Female,33,22525,10122862,Cash
605,20011,606,Female,58,5078,10265054,Card
606,20049,607,Male,38,26615,10264490,Card
607,20091,608,Male,19,6229,10118834,Cash
608,20129,609,Male,35,24360,10083580,Cash
609,20166,610,Male,38,24331,10100426,Card
610,20194,611,Male,48,2930,10195785,Card
611,20231,612,Male,26,29910,10054216,Cash
612,20269,613,Male,33,20912,10031079,Card
613,20298,614,Female,30,23119,10379695,Cash
614,20337,615,Female,30,18328,10210625,Card
615,20363,616,Male,34,10893,10273538,Cash
616,20406,617,Male,27,22330,10398298,Card
617,20439,618,Male,24,23303,10048576,Card
618,20478,619,Female,26,22976,10379893,Card
619,20516,620,Male,33,13460,10108276,Cash
620,20547,621,Female,20,16809,10286893,Card
621,20589,622,Female,37,17881,10204602,Cash
